Name	Date time	Maximum Temperature	Minimum Temperature	Temperature	Wind Chill	Heat Index	Precipitation	Snow	Snow Depth	Wind Speed	Wind Direction	Wind Gust	Visibility	Cloud Cover	Relative Humidity	Conditions	datetime	year	month	day	unix
Новосибирск, Сибирский федеральный округ, Россия	04/20/1970	12.2	-1.0	6.2	-2.1		0.0		0.0	27.2	179.63		12.0	33.6	45.71	Partially cloudy	1970-04-20	1970	4	20	9417600
Новосибирск, Сибирский федеральный округ, Россия	04/21/1970	17.3	5.2	11.2	-0.3		75.0		0.0	54.8	170.25		13.4	81.3	39.05	Rain, Overcast	1970-04-21	1970	4	21	9504000
Новосибирск, Сибирский федеральный округ, Россия	04/22/1970	12.4	-9.0	-3.4	-20.9		77.0		0.0	64.7	237.13		5.6	99.0	69.82	Rain, Overcast	1970-04-22	1970	4	22	9590400
Новосибирск, Сибирский федеральный округ, Россия	04/23/1970	0.1	-9.7	-4.7	-16.3		150.0		0.0	51.0	211.38		12.6	74.0	68.55	Rain, Partially cloudy	1970-04-23	1970	4	23	9676800
Новосибирск, Сибирский федеральный округ, Россия	04/24/1970	13.6	2.0	6.8	-4.4		150.0		0.0	41.0	201.0		12.0	90.6	47.15	Rain, Overcast	1970-04-24	1970	4	24	9763200
Новосибирск, Сибирский федеральный округ, Россия	04/25/1970	10.4	4.5	8.1	0.4		0.0		0.0	37.5	249.25		13.5	55.9	48.12	Partially cloudy	1970-04-25	1970	4	25	9849600
Новосибирск, Сибирский федеральный округ, Россия	04/26/1970	10.1	0.4	5.2	0.2		0.0		0.0	20.0	234.5		13.4	37.2	54.93	Partially cloudy	1970-04-26	1970	4	26	9936000
Новосибирск, Сибирский федеральный округ, Россия	04/27/1970	12.2	1.7	6.9	-2.3		0.0		0.0	18.4	125.88		12.4	56.9	46.51	Partially cloudy	1970-04-27	1970	4	27	10022400
Новосибирск, Сибирский федеральный округ, Россия	04/28/1970	7.3	0.6	4.0	-6.2		0.0		0.0	34.8	250.63		16.6	89.9	60.45	Overcast	1970-04-28	1970	4	28	10108800
Новосибирск, Сибирский федеральный округ, Россия	04/29/1970	2.2	-2.8	-0.4	-9.7		0.0			30.0	249.63		11.8	47.9	55.82	Partially cloudy	1970-04-29	1970	4	29	10195200
Новосибирск, Сибирский федеральный округ, Россия	04/30/1970	-0.6	-4.0	-2.2	-10.3		4.0		0.0	40.0	117.63		8.3	74.5	71.32	Rain, Partially cloudy	1970-04-30	1970	4	30	10281600
Новосибирск, Сибирский федеральный округ, Россия	05/01/1970	0.3	-6.4	-2.8	-13.7		12.0			46.0	332.0		10.9	73.9	72.71	Rain, Partially cloudy	1970-05-01	1970	5	1	10368000
Новосибирск, Сибирский федеральный округ, Россия	05/02/1970	2.9	-6.5	-1.0	-7.4		0.0		0.0	12.9	305.25		13.2	22.3	52.38	Clear	1970-05-02	1970	5	2	10454400
Новосибирск, Сибирский федеральный округ, Россия	05/03/1970	2.2	-4.8	-1.0	-10.6		0.0		0.0	17.7	147.13		15.2	11.5	50.45	Clear	1970-05-03	1970	5	3	10540800
Новосибирск, Сибирский федеральный округ, Россия	05/04/1970	6.4	-4.4	1.4	-7.9		0.0		0.0	30.4	53.88		12.9	51.0	50.14	Partially cloudy	1970-05-04	1970	5	4	10627200
Новосибирск, Сибирский федеральный округ, Россия	05/05/1970	8.0	-0.9	3.7	-6.0		0.0		0.0	34.1	103.13		11.7	55.2	46.78	Partially cloudy	1970-05-05	1970	5	5	10713600
Новосибирск, Сибирский федеральный округ, Россия	05/06/1970	8.7	0.7	4.2	-4.3		0.0		0.0	23.6	141.0		14.0	56.0	43.39	Partially cloudy	1970-05-06	1970	5	6	10800000
Новосибирск, Сибирский федеральный округ, Россия	05/07/1970	8.9	-0.8	4.8	-4.7		0.0		0.0	19.9	167.75		11.7	38.9	39.95	Partially cloudy	1970-05-07	1970	5	7	10886400
Новосибирск, Сибирский федеральный округ, Россия	05/08/1970	10.1	1.1	6.3	-2.2		0.0		0.0	28.3	189.38		13.6	76.2	48.41	Overcast	1970-05-08	1970	5	8	10972800
Новосибирск, Сибирский федеральный округ, Россия	05/09/1970	10.2	4.0	7.3	0.7		0.0		0.0	20.7	243.5		15.5	95.9	58.12	Overcast	1970-05-09	1970	5	9	11059200
Новосибирск, Сибирский федеральный округ, Россия	05/10/1970	8.8	2.9	5.2	-2.2		16.0		0.0	39.3	243.5		10.4	99.7	73.48	Rain, Overcast	1970-05-10	1970	5	10	11145600
Новосибирск, Сибирский федеральный округ, Россия	05/11/1970	5.1	-1.1	1.8	-6.3		9.32		0.0	19.6	304.13		13.1	70.0	57.9	Rain, Partially cloudy	1970-05-11	1970	5	11	11232000
Новосибирск, Сибирский федеральный округ, Россия	05/12/1970	6.8	-2.6	1.9	-4.8		0.0		0.0	16.5	162.88		14.9	52.9	52.43	Partially cloudy	1970-05-12	1970	5	12	11318400
Новосибирск, Сибирский федеральный округ, Россия	05/13/1970	12.4	0.9	5.9	-4.1		0.0		0.0	32.9	48.0		11.9	80.7	53.08	Overcast	1970-05-13	1970	5	13	11404800
Новосибирск, Сибирский федеральный округ, Россия	05/14/1970	17.9	7.9	12.9	5.3		15.32		0.0	31.7	163.25		12.3	79.7	65.35	Rain, Overcast	1970-05-14	1970	5	14	11491200
